"Rural/Urban:- 1=Rural, 2=Urban",,,,,,,,,,,
"School Category : - Primary (1), Primary with Upper Primary (2), Primary with Upper primary and secondary/higher secondary (3), Upper primary only (4), Upper primary with secondary/higher secondary (5)",,,,,,,,,,,
,,,,,,,,,,,
"Management :- Department of Education (1), Tribal/Social Welfare Department (2), Local Body (3), Pvt. Aided (4), Pvt. Unaided (5), Others (6)",,,,,,,,,,,
,,,,,,,,,,,
School Code,State Name,District Name,Block Name,Village Name,School Name,Rural/Urban,School Category,School Management,Total Enrolment,Total Classroom,Student Classroom Ratio
28010390102,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD,1903009 - M.P.Primary School,2,1,3,47,1,47
28010390103,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD,1903031 - Govt.Primary School,2,1,1,225,5,45
28010390105,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD,1903033 - Govt.Primary School,2,1,1,123,2,62
28010390106,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD,1903034 - Govt.Primary School,2,1,1,129,3,43
28010390110,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD,1903038 - Govt.Primary School,2,1,1,194,3,65
28010390114,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD,1903042 - Govt.Primary School,2,1,1,130,3,43
28010390115,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD,1903043 - Govt.Primary School,2,1,1,214,1,214
28010390136,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD,1903131 - GOVT.  PRIMARY SCHOOL,2,1,1,220,2,110
28010390145,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD,1903167 - GOVTPRIMARY SCHHOOL,2,2,1,94,2,47
28010390146,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD,1903168 - GOVT PRIMARY SCHOOL,2,1,1,192,3,64
28010390142,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD,1903312 - Govt.U.P.School,2,2,1,251,6,42
28010390150,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD,1903320 - Govt.U.P.School,2,2,1,267,4,67
28010390108,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD,1903367 - M.P.Primary School,2,2,3,263,3,88
28010390109,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD,1903368 - Govt.U.Primary School,2,2,1,189,1,189
28010390176,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD,1903617 - GOVT .ASHRAM HIGH SCHOOL,2,5,2,317,7,45
28010395101,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD-1,1903138 - M.P. PRIMARY SCHOOL,2,1,3,179,4,45
28010395106,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD-1,1903147 - GOVT. P  S,2,1,1,613,5,123
28010395141,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD-1,1903150 - GOVT.PRIMARY SCHOOL,2,1,1,105,2,53
28010395127,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD-1,1903657 - GOVT. BALAK MANDIR,2,5,1,592,10,59
28010395144,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD-1,1903664 - GOVT.HIGH SCHOOL,2,5,1,83,2,42
28010395149,Andhra Pradesh                     ,ADILABAD,ADILABAD,ADILABAD-1,1903667-GOVT H.S QUILLA,2,5,1,168,3,56
28010302602,Andhra Pradesh                     ,ADILABAD,ADILABAD,ANKOLI,1903079 - GVVK-PRIMARY SCHOOL-,1,1,2,42,1,42
28010301501,Andhra Pradesh                     ,ADILABAD,ADILABAD,BATTISAWARGAON,1903119 - M P P SCHOOL,1,1,3,44,1,44
28010301101,Andhra Pradesh                     ,ADILABAD,ADILABAD,BHEEMSERI,1903005 - M.P.Primary School,1,1,3,185,3,62
28010390504,Andhra Pradesh                     ,ADILABAD,ADILABAD,DASNAPUR,1903012 - M.P.Primary School,2,1,3,144,3,48
28010390512,Andhra Pradesh                     ,ADILABAD,ADILABAD,DASNAPUR,1903120 - M P P SCHOOL,2,1,3,201,2,101
28010301602,Andhra Pradesh                     ,ADILABAD,ADILABAD,DASNAPUR,1903121 - M P P SCHOOL,1,1,3,123,3,41
28010390503,Andhra Pradesh                     ,ADILABAD,ADILABAD,DASNAPUR,1903366 - M.P.U.Primary School,2,2,3,223,2,112
28010390527,Andhra Pradesh                     ,ADILABAD,ADILABAD,DASNAPUR,1903646 - Z P S SCHOOL,2,5,3,90,2,45
28010390528,Andhra Pradesh                     ,ADILABAD,ADILABAD,DASNAPUR,1903647 - Z P S SCHOOL,2,5,3,223,5,45
28010303901,Andhra Pradesh                     ,ADILABAD,ADILABAD,KHANDALA (U),"1903089 - GVVK-PS,",1,1,2,111,2,56
28010300701,Andhra Pradesh                     ,ADILABAD,ADILABAD,LANDASANGVI,1903163 -MPPS LANDASANGVI,1,1,3,164,2,82
28010304001,Andhra Pradesh                     ,ADILABAD,ADILABAD,LOHARA,1903026 - M.P.Primary School,1,1,3,68,1,68
28010304002,Andhra Pradesh                     ,ADILABAD,ADILABAD,LOHARA,1903113 - GVVK-PS,1,1,2,58,1,58
28010302504,Andhra Pradesh                     ,ADILABAD,ADILABAD,MAVALA,1903019 - M.P.Primary School,1,1,3,75,1,75
28010302102,Andhra Pradesh                     ,ADILABAD,ADILABAD,RAMAI,1903307 - M.P.U.P.School,1,2,3,101,2,51
28010303505,Andhra Pradesh                     ,ADILABAD,ADILABAD,WANWAT,"1903342 - GOVT. TRIBAL ASHRAM , UPS",1,1,2,103,2,52
28010303507,Andhra Pradesh                     ,ADILABAD,ADILABAD,WANWAT,1903353 - GOVT. TRIBAL U PRIMARY SC,1,2,2,136,3,45
28013700203,Andhra Pradesh                     ,ADILABAD,ASIFABAD,ADA,1937012 - M.P.Primary School,1,1,3,64,1,64
28013700205,Andhra Pradesh                     ,ADILABAD,ASIFABAD,ADA,1937014 - M.P.Primary School,1,1,3,139,2,70
28013700207,Andhra Pradesh                     ,ADILABAD,ASIFABAD,ADA,1937024 - M.P.Primary School,1,1,3,109,2,55
28013700209,Andhra Pradesh                     ,ADILABAD,ASIFABAD,ADA,1937301 - M.P.U.P.School,1,2,3,171,4,43
28013704801,Andhra Pradesh                     ,ADILABAD,ASIFABAD,ADA - DASNAPUR,1937331 - M.P.U.Primary School,1,2,3,44,1,44
28013702602,Andhra Pradesh                     ,ADILABAD,ASIFABAD,ANKUSAPUR,1937021 - M.P.Primary School,1,1,3,41,1,41
28013702603,Andhra Pradesh                     ,ADILABAD,ASIFABAD,ANKUSAPUR,1937079 - GOVT.TRIBAL PRIMARY SCHOO,1,1,2,46,1,46
28013703101,Andhra Pradesh                     ,ADILABAD,ASIFABAD,APPEPALLE,1937035 - M.P.Primary School,1,1,3,91,1,91
28013790201,Andhra Pradesh                     ,ADILABAD,ASIFABAD,ASIFABAD,1937013 - M.P.Primary School,1,1,3,153,3,51
28013790202,Andhra Pradesh                     ,ADILABAD,ASIFABAD,ASIFABAD,1937025 - M.P.Primary School,2,1,3,63,1,63
28013790203,Andhra Pradesh                     ,ADILABAD,ASIFABAD,ASIFABAD,1937026 - M.P.Primary School,2,1,3,45,1,45
28013790205,Andhra Pradesh                     ,ADILABAD,ASIFABAD,ASIFABAD,1937028 - M.P.Primary School,2,1,3,101,1,101
28013790212,Andhra Pradesh                     ,ADILABAD,ASIFABAD,ASIFABAD,1937107 - MPPSCHOOL,1,1,3,42,1,42
28013790227,Andhra Pradesh                     ,ADILABAD,ASIFABAD,ASIFABAD,1937604 - Z.P.High School(Girls),1,5,3,310,7,44
28013790234,Andhra Pradesh                     ,ADILABAD,ASIFABAD,ASIFABAD,1937613 - GOVT.ASHRAM HIGH SCHOOL,1,3,2,290,6,48
28013704101,Andhra Pradesh                     ,ADILABAD,ASIFABAD,BALEGAON,1937330 - M.P.U.Primary School,1,2,3,51,1,51
28013705304,Andhra Pradesh                     ,ADILABAD,ASIFABAD,BALHANPUR,1937111 - MPPSCHOOL,1,1,3,50,1,50
28013702903,Andhra Pradesh                     ,ADILABAD,ASIFABAD,BURUGUDA,1937605 - Z.P.High School,1,5,3,217,5,43
28013700701,Andhra Pradesh                     ,ADILABAD,ASIFABAD,GUDIGUDI,1937006 - MPPS GUDIGUDI,1,1,3,50,1,50
28013700502,Andhra Pradesh                     ,ADILABAD,ASIFABAD,IPPALNAVEGAON,1937321 - MP UP SCHOOL,1,2,3,93,2,47
28013705501,Andhra Pradesh                     ,ADILABAD,ASIFABAD,KOWDIAN MOWAD,1937047 - M.P.Primary School,1,1,3,44,1,44
28013701201,Andhra Pradesh                     ,ADILABAD,ASIFABAD,NANDUPA,1937008 - M.P.Primary School,1,1,3,44,1,44
28013706301,Andhra Pradesh                     ,ADILABAD,ASIFABAD,PARASNAMBAL,1937311 - M.P.U.P.School,1,2,3,106,2,53
28013701401,Andhra Pradesh                     ,ADILABAD,ASIFABAD,RAJURA,1937329 - M.P.U.Primary School,1,2,3,99,2,50
28013706202,Andhra Pradesh                     ,ADILABAD,ASIFABAD,ROUTSANKEPALLE,1937099 - GOVT.TRIBAL PRIMARY SCHOO,1,1,2,57,1,57
28013700102,Andhra Pradesh                     ,ADILABAD,ASIFABAD,WADIGUDA,1937320 - MP UP SCHOOL,1,2,3,123,2,62
28011002403,Andhra Pradesh                     ,ADILABAD,BAZARHATHNOOR,BAZARHATHNUR,1910057 - MPPS BAZARHATHNUR,1,1,3,207,5,41
28011001602,Andhra Pradesh                     ,ADILABAD,BAZARHATHNOOR,DEHGAON,1910052 - M P PS,1,1,3,45,1,45
28011001302,Andhra Pradesh                     ,ADILABAD,BAZARHATHNOOR,JATARLA,1910036 - GOVT.TRIBAL PRIMARY SCHOO,1,1,2,44,1,44
28011000501,Andhra Pradesh                     ,ADILABAD,BAZARHATHNOOR,KINNERPALLE,1910310 - M.P.U.Primary School,1,2,3,53,1,53
28011002501,Andhra Pradesh                     ,ADILABAD,BAZARHATHNOOR,KOLHARI,1910016 - M.P.Primary School,2,1,3,86,2,43
28011000801,Andhra Pradesh                     ,ADILABAD,BAZARHATHNOOR,YESAPUR,1910006 - M.P.Primary School,1,1,3,62,1,62
28014703701,Andhra Pradesh                     ,ADILABAD,BEJJUR,AGARGUDA,1947321 - M.P.U.Primary School,1,2,3,115,1,115
28014702002,Andhra Pradesh                     ,ADILABAD,BEJJUR,BEJJUR,1947033 - M.P.Primary School,1,1,3,86,1,86
28014702003,Andhra Pradesh                     ,ADILABAD,BEJJUR,BEJJUR,1947034 - M.P.Primary School,1,1,3,143,2,72
28014702005,Andhra Pradesh                     ,ADILABAD,BEJJUR,BEJJUR,1947078 - GOVT.TRIBAL PRIMARY SCHOO,1,1,2,65,1,65
28014702006,Andhra Pradesh                     ,ADILABAD,BEJJUR,BEJJUR,1947079 - GOVT.TRIBAL PRIMARY SCHOO,1,1,2,41,1,41
28014702007,Andhra Pradesh                     ,ADILABAD,BEJJUR,BEJJUR,1947097 - M P PRIMARY SCHOOL,1,1,3,106,2,53
28014702009,Andhra Pradesh                     ,ADILABAD,BEJJUR,BEJJUR,1947601 - Z.P.High School,1,5,3,234,5,47
28014700601,Andhra Pradesh                     ,ADILABAD,BEJJUR,DIMDA,1947311 - M P UPPER PRIMARY SCHOOL,1,2,3,231,4,58
28014700802,Andhra Pradesh                     ,ADILABAD,BEJJUR,GUDEM,1947107 - MPPS GUDEM,1,1,3,264,5,53
28014704401,Andhra Pradesh                     ,ADILABAD,BEJJUR,KAMMERGAON,1947057 - M.P.Primary School,1,1,3,75,1,75
28014700401,Andhra Pradesh                     ,ADILABAD,BEJJUR,KARJAVELLI,1947067 - GOVT.TRIBAL PRIMARY SCHOO,1,1,2,67,1,67
28014700402,Andhra Pradesh                     ,ADILABAD,BEJJUR,KARJAVELLI,1947303 - M.P.U.P.School,1,2,3,235,3,78
28014701102,Andhra Pradesh                     ,ADILABAD,BEJJUR,KATEPALLE,1947068 - GOVT.TRIBAL PRIMARY SCHOO,1,1,2,42,1,42
28014700503,Andhra Pradesh                     ,ADILABAD,BEJJUR,KETHINI,1947316 - GOVT. ASHRM PRIMARY SCHOO,1,2,2,185,4,46
