"place_id","n_house","level"
"andamanandnicobarislands",380581,"level2"
"andhrapradesh",49386799,"level2"
"arunachalpradesh",1383727,"level2"
"assam",31205576,"level2"
"biharandjharkhand",137087586,"level2"
"chandigarh",1055450,"level2"
"chhattisgarhandmadhyapradesh",98172007,"level2"
"dadraandnagarhaveli",343709,"level2"
"damananddiuandgoa",1701792,"level2"
"gujarat",60439692,"level2"
"haryana",25351462,"level2"
"himachalpradesh",6864602,"level2"
"jammuandkashmir",12541302,"level2"
"karnataka",61095297,"level2"
"kerala",33406061,"level2"
"lakshadweep",64473,"level2"
"maharashtra",112374333,"level2"
"manipur",2855794,"level2"
"meghalaya",2966889,"level2"
"mizoram",1097206,"level2"
"nagaland",1978502,"level2"
"delhi",16787941,"level2"
"orissa",41974218,"level2"
"pondicherry",1247953,"level2"
"punjab",27743338,"level2"
"rajasthan",68548437,"level2"
"sikkim",610577,"level2"
"tamilnadu",72147030,"level2"
"tripura",3673917,"level2"
"uttarpradeshanduttaranchal",199812341,"level2"
"westbengal",91276115,"level2"
"total",1210854977,"total"
