District,HASC,Population,Area,Capital
Adilabad,IN.TG.AD,"2,741,239","16,105",Adilabad
Agar Malwa,IN.MP.AM,,,Agar
Agra,IN.UP.AG,"4,418,797","4,027",Agra
Ahmedabad,IN.GJ.AB,"7,214,225","8,707",Ahmedabad
Ahmednagar,IN.MH.AH,"4,543,159","17,048",Ahmednagar
Aizawl,IN.MZ.AI,"400,309","3,577",Aizawl
Ajmer,IN.RJ.AJ,"2,583,052","8,481",Ajmer
Akola,IN.MH.AK,"1,813,906","5,429",Akola
Alappuzha,IN.KL.AL,"2,127,789","1,414",Alappuzha
Aligarh,IN.UP.AL,"3,673,889","3,747",Aligarh
Alipurduar,IN.WB.AP,,,Alipurduar
Alirajpur,IN.MP.AR,"728,999","6,782",Jhabua
Allahabad,IN.UP.AH,"5,954,391","5,424",Allahabad
Almora,IN.UT.AL,"622,506","3,090",Almora
Alwar,IN.RJ.AL,"3,674,179","8,380",Alwar
Ambala,IN.HR.AM,"1,128,350","1,569",Ambala
Ambedkar Nagar,IN.UP.AN,"2,397,888","2,372",Akbarpur
Amethi,IN.UP.AM,,,Gauriganj
Amravati,IN.MH.AM,"2,888,445","12,235",Amravati
Amreli,IN.GJ.AM,"1,514,190","6,760",Amreli
Amritsar,IN.PB.AR,"2,490,656","5,075",Amritsar
Amroha,IN.UP.JP,"1,840,221","2,321",Amroha
Anand,IN.GJ.AN,"2,092,745","2,942",Anand
Anantapur,IN.AD.AN,"4,081,148","19,130",Anantapur
Anantnag,IN.JK.AG,"1,078,692","3,984",Anantnag
Angul,IN.OR.AN,"1,273,821","6,347",Angul
Anjaw,IN.AR.AJ,"21,167","11,402",Hawai
Anuppur,IN.MP.AP,"749,237","9,954",Shahdol
Araria,IN.BR.AR,"2,811,569","2,829",Araria
Aravalli,IN.GJ.AR,,,Modasa
Ariyalur,IN.TN.AR,"754,894","1,939",Ariyalur
Arwal,IN.BR.AW,"700,843","1,569",Jehanabad
Ashoknagar,IN.MP.AN,"845,071","11,065",Guna
Auraiya,IN.UP.AU,"1,379,545","2,051",Auraiya
Aurangabad,IN.BR.AU,"2,540,073","3,303",Aurangabad
Aurangabad,IN.MH.AU,"3,701,282","10,107",Aurangabad
Azamgarh,IN.UP.AZ,"4,613,913","4,234",Azamgarh
Badaun,IN.UP.BA,"3,681,896","5,168",Badaun
Badgam,IN.JK.BD,"753,745","1,371",Badgam
Bagalkot,IN.KA.BK,"1,889,752","6,583",Bagalkot
Bageshwar,IN.UT.BA,"259,898","2,310",Bageshwar
Baghpat,IN.UP.BG,"1,303,048","1,345",Baghpat
Bahraich,IN.UP.BH,"3,487,731","5,745",Bahraich
Baksa,IN.AS.BK,"950,075","2,008",Mushalpur
Balaghat,IN.MP.BL,"1,701,698","9,229",Balaghat
Baleshwar,IN.OR.BW,"2,320,529","3,706",Baleshwar
Ballia,IN.UP.BL,"3,239,774","2,981",Ballia
Balod,IN.CT.BD,,,Balod
Baloda Bazar,IN.CT.BB,,,Baloda Bazar
Balrampur,IN.CT.BR,,,Balrampur
Balrampur,IN.UP.BP,"2,148,665","2,925",Balrampur
Banas Kantha,IN.GJ.BK,"3,120,506","12,703",Banas Kantha
Banda,IN.UP.BN,"1,799,410","4,413",Banda
Bandipore,IN.JK.BP,"392,232","4,588",Baramula
Bangalore,IN.KA.BN,"9,621,551","2,190",Bangalore
Bangalore Rural,IN.KA.BU,"990,923","5,815",Bangalore
Banka,IN.BR.BA,"2,034,763","3,018",Banka
Bankura,IN.WB.BN,"3,596,674","6,882",Bankura
Banswara,IN.RJ.BS,"1,797,485","5,037",Banswara
Barabanki,IN.UP.BB,"3,260,699","3,825",Barabanki
Baragarh,IN.OR.BR,"1,481,255","5,832",Baragarh
Baramula,IN.JK.BL,"1,008,039","4,588",Baramula
Baran,IN.RJ.BR,"1,222,755","6,955",Baran
Bardhaman,IN.WB.BR,"7,717,563","7,024",Bardhaman
Bareilly,IN.UP.BR,"4,448,359","4,120",Bareilly
Barmer,IN.RJ.BM,"2,603,751","28,387",Barmer
Barnala,IN.PB.BL,"595,527","5,021",Sangrur
Barpeta,IN.AS.BP,"1,693,622","3,245",Barpeta
Barwani,IN.MP.BR,"1,385,881","5,432",Barwani
Bastar,IN.CT.BS,"1,413,199","14,968",Jagdalpur
Basti,IN.UP.BS,"2,464,464","3,034",Basti
Bathinda,IN.PB.BA,"1,388,525","3,377",Bathinda
Begusarai,IN.BR.BE,"2,970,541","1,917",Begusarai
Belgaum,IN.KA.BG,"4,779,661","13,415",Belgaum
Bellary,IN.KA.BL,"2,452,595","8,439",Bellary
Bemetara,IN.CT.BM,,,Bemetara
Betul,IN.MP.BE,"1,575,362","10,043",Betul
Bhadrak,IN.OR.BH,"1,506,337","2,788",Bhadrak
Bhagalpur,IN.BR.BG,"3,037,766","2,569",Bhagalpur
Bhandara,IN.MH.BH,"1,200,334","3,890",Bhandara
Bharatpur,IN.RJ.BP,"2,548,462","5,066",Bharatpur
Bharuch,IN.GJ.BR,"1,551,019","6,524",Bharuch
Bhavnagar,IN.GJ.BN,"2,880,365","11,155",Bhavnagar
Bhilwara,IN.RJ.BW,"2,408,523","10,455",Bhilwara
Bhind,IN.MP.BD,"1,703,005","4,459",Bhind
Bhiwani,IN.HR.BH,"1,634,445","5,140",Bhiwani
Bhojpur,IN.BR.BJ,"2,728,407","2,473",Ara
Bhopal,IN.MP.BP,"2,371,061","2,772",Bhopal
Bid,IN.MH.BI,"2,585,049","10,693",Bid
Bidar,IN.KA.BD,"1,703,300","5,448",Bidar
Bijapur,IN.CT.BJ,"255,230","17,538",Dantewada
Bijapur,IN.KA.BJ,"2,177,331","10,517",Bijapur
Bijnor,IN.UP.BI,"3,682,713","4,561",Bijnor
Bikaner,IN.RJ.BI,"2,363,937","27,244",Bikaner
Bilaspur,IN.CT.BL,"2,663,629","8,270",Bilaspur
Bilaspur,IN.HP.BI,"381,956","1,167",Bilaspur
Birbhum,IN.WB.BI,"3,502,404","4,545",Suri
Bishnupur,IN.MN.BI,"237,399",496,Bishnupur
Biswanath,IN.AS.BS,,,Bishwanath Chariali
Bokaro,IN.JH.BO,"2,062,330","2,861",Bokaro
Bolangir,IN.OR.BL,"1,648,997","6,552",Bolangir
Bongaigaon,IN.AS.BG,"738,804","2,510",Bongaigaon
Botad,IN.GJ.BT,,,Botad
Boudh,IN.OR.BD,"441,162","4,289",Boudh
Bulandshahr,IN.UP.BU,"3,499,171","3,719",Bulandshahr
Buldhana,IN.MH.BU,"2,586,258","9,661",Buldhana
Bundi,IN.RJ.BU,"1,110,906","5,550",Bundi
Burhanpur,IN.MP.BU,"757,847","10,779",Khandwa
Buxar,IN.BR.BU,"1,706,352","1,624",Buxar
Cachar,IN.AS.CA,"1,736,617","3,786",Silchar
Central,IN.DL.CE,"582,320","1,483",Delhi
Chamba,IN.HP.CH,"519,080","6,528",Chamba
Chamoli,IN.UT.CL,"391,605","7,692",Chamoli
Champawat,IN.UT.CP,"259,648","1,781",Champawat
Champhai,IN.MZ.CH,"125,745","3,168",Champhai
Chamrajnagar,IN.KA.CJ,"1,020,791","5,102",Chamrajnagar
Chandauli,IN.UP.CD,"1,952,756","2,554",Chandauli
Chandel,IN.MN.CD,"144,182","3,317",Chandel
Chandigarh,IN.CH.CH,"1,055,450",114,Chandigarh
