STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name
28,000,ANDHRA PRADESH,00000,ANDHRA PRADESH,000000,ANDHRA PRADESH
28,000,ANDHRA PRADESH,00000,ANDHRA PRADESH,802918,GHMC (M Corp. + OG)
28,532,Adilabad,00000,Adilabad,000000,Adilabad
28,532,Adilabad,00000,Adilabad,802900,Bellampalle (M)
28,532,Adilabad,04305,Tamsi,000000,Tamsi
28,532,Adilabad,04306,Adilabad,000000,Adilabad
28,532,Adilabad,04306,Adilabad,802896,Adilabad (M)
28,532,Adilabad,04307,Jainad,000000,Jainad
28,532,Adilabad,04308,Bela,000000,Bela
28,532,Adilabad,04309,Talamadugu,000000,Talamadugu
28,532,Adilabad,04310,Gudihathnoor,000000,Gudihathnoor
28,532,Adilabad,04311,Inderavelly,000000,Inderavelly
28,532,Adilabad,04312,Narnoor,000000,Narnoor
28,532,Adilabad,04313,Kerameri ,000000,Kerameri 
28,532,Adilabad,04314,Wankdi,000000,Wankdi
28,532,Adilabad,04315,Sirpur (T),000000,Sirpur (T)
28,532,Adilabad,04316,Kouthala,000000,Kouthala
28,532,Adilabad,04317,Bejjur,000000,Bejjur
28,532,Adilabad,04318,Kagaznagar,000000,Kagaznagar
28,532,Adilabad,04318,Kagaznagar,802897,Kagaznagar (M)
28,532,Adilabad,04319,Asifabad ,000000,Asifabad 
28,532,Adilabad,04320,Jainoor,000000,Jainoor
28,532,Adilabad,04321,Utnoor,000000,Utnoor
28,532,Adilabad,04322,Ichoda,000000,Ichoda
28,532,Adilabad,04323,Bazarhathnoor,000000,Bazarhathnoor
28,532,Adilabad,04324,Boath,000000,Boath
28,532,Adilabad,04325,Neradigonda,000000,Neradigonda
28,532,Adilabad,04326,Sirpur,000000,Sirpur
28,532,Adilabad,04327,Rebbana,000000,Rebbana
28,532,Adilabad,04328,Bhimini,000000,Bhimini
28,532,Adilabad,04329,Dahegaon,000000,Dahegaon
28,532,Adilabad,04330,Vemanpalle,000000,Vemanpalle
28,532,Adilabad,04331,Nennal,000000,Nennal
28,532,Adilabad,04332,Tandur,000000,Tandur
28,532,Adilabad,04333,Tiryani,000000,Tiryani
28,532,Adilabad,04334,Jannaram,000000,Jannaram
28,532,Adilabad,04335,Kaddam (Peddur),000000,Kaddam (Peddur)
28,532,Adilabad,04336,Sarangapur,000000,Sarangapur
28,532,Adilabad,04337,Kuntala,000000,Kuntala
28,532,Adilabad,04338,Kubeer,000000,Kubeer
28,532,Adilabad,04339,Bhainsa,000000,Bhainsa
28,532,Adilabad,04339,Bhainsa,802898,Bhainsa (M)
28,532,Adilabad,04340,Tanoor,000000,Tanoor
28,532,Adilabad,04341,Mudhole,000000,Mudhole
28,532,Adilabad,04342,Lokeswaram,000000,Lokeswaram
28,532,Adilabad,04343,Dilawarpur,000000,Dilawarpur
28,532,Adilabad,04344,Nirmal,000000,Nirmal
28,532,Adilabad,04344,Nirmal,802899,Nirmal (M)
28,532,Adilabad,04345,Laxmanchanda,000000,Laxmanchanda
28,532,Adilabad,04346,Mamda,000000,Mamda
28,532,Adilabad,04347,Khanapur,000000,Khanapur
28,532,Adilabad,04348,Dandepalle,000000,Dandepalle
28,532,Adilabad,04349,Kasipet,000000,Kasipet
28,532,Adilabad,04349,Kasipet,802900,Bellampalle (M) (Part)
28,532,Adilabad,04350,Bellampalle,000000,Bellampalle
28,532,Adilabad,04350,Bellampalle,802900,Bellampalle (M) (Part)
28,532,Adilabad,04351,Kotapalle,000000,Kotapalle
28,532,Adilabad,04352,Mandamarri,000000,Mandamarri
28,532,Adilabad,04352,Mandamarri,802901,Mandamarri (M)
28,532,Adilabad,04353,Luxettipet,000000,Luxettipet
28,532,Adilabad,04354,Mancherial,000000,Mancherial
28,532,Adilabad,04354,Mancherial,802902,Mancherial (M + OG)
28,532,Adilabad,04354,Mancherial,802902,Mancherial (M)
28,532,Adilabad,04355,Jaipur,000000,Jaipur
28,532,Adilabad,04356,Chennur,000000,Chennur
28,533,Nizamabad,00000,Nizamabad,000000,Nizamabad
28,533,Nizamabad,04357,Ranjal,000000,Ranjal
28,533,Nizamabad,04358,Navipet,000000,Navipet
28,533,Nizamabad,04359,Nandipet,000000,Nandipet
28,533,Nizamabad,04360,Armur,000000,Armur
28,533,Nizamabad,04360,Armur,802903,Armur (M + OG)
28,533,Nizamabad,04360,Armur,802903,Armur (M)
28,533,Nizamabad,04361,Balkonda,000000,Balkonda
28,533,Nizamabad,04362,Mortad,000000,Mortad
28,533,Nizamabad,04363,Kammarpalle,000000,Kammarpalle
28,533,Nizamabad,04364,Bheemgal,000000,Bheemgal
28,533,Nizamabad,04365,Velpur,000000,Velpur
28,533,Nizamabad,04366,Jakranpalle,000000,Jakranpalle
28,533,Nizamabad,04367,Makloor,000000,Makloor
28,533,Nizamabad,04368,Nizamabad,000000,Nizamabad
28,533,Nizamabad,04368,Nizamabad,802904,Nizamabad (M Corp.)
28,533,Nizamabad,04369,Yedpalle,000000,Yedpalle
28,533,Nizamabad,04370,Bodhan,000000,Bodhan
28,533,Nizamabad,04370,Bodhan,802905,Bodhan (M)
28,533,Nizamabad,04371,Kotgiri,000000,Kotgiri
28,533,Nizamabad,04372,Madnoor,000000,Madnoor
28,533,Nizamabad,04373,Jukkal,000000,Jukkal
28,533,Nizamabad,04374,Bichkunda,000000,Bichkunda
28,533,Nizamabad,04375,Birkoor,000000,Birkoor
28,533,Nizamabad,04376,Varni,000000,Varni
28,533,Nizamabad,04377,Dichpalle,000000,Dichpalle
28,533,Nizamabad,04378,Dharpalle,000000,Dharpalle
