State,District,DT Name,CD Block,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
28,541,Khammam,0398,000000,0000,000000,CD BLOCK,Wazeed,Total,7109,24816,12248,12568,2433,1217,1216,3814,1932,1882,12313,6020,6293,13309,7593,5716,11507,4655,6852,15038,7686,7352,11183,6249,4934,2568,1877,691,7804,3810,3994,44,30,14,767,532,235,3855,1437,2418,133,77,56,3497,1240,2257,20,10,10,205,110,95,3208,1135,2073,114,65,49,2916,976,1940,7,5,2,171,89,82,647,302,345,19,12,7,581,264,317,13,5,8,34,21,13,9778,4562,5216
28,541,Khammam,0398,000000,0000,000000,CD BLOCK,Wazeed,Rural,7109,24816,12248,12568,2433,1217,1216,3814,1932,1882,12313,6020,6293,13309,7593,5716,11507,4655,6852,15038,7686,7352,11183,6249,4934,2568,1877,691,7804,3810,3994,44,30,14,767,532,235,3855,1437,2418,133,77,56,3497,1240,2257,20,10,10,205,110,95,3208,1135,2073,114,65,49,2916,976,1940,7,5,2,171,89,82,647,302,345,19,12,7,581,264,317,13,5,8,34,21,13,9778,4562,5216
28,541,Khammam,0398,000000,0000,000000,CD BLOCK,Wazeed,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,541,Khammam,0398,578680,0000,000000,VILLAGE,Tekulagudem- Chalk- I,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,541,Khammam,0398,578681,0000,000000,VILLAGE,Tekulagudem (Z),Rural,151,503,254,249,71,38,33,16,7,9,441,223,218,237,151,86,266,103,163,361,180,181,12,6,6,0,0,0,0,0,0,0,0,0,12,6,6,349,174,175,0,0,0,346,172,174,0,0,0,3,2,1,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,347,173,174,0,0,0,344,171,173,0,0,0,3,2,1,142,74,68
28,541,Khammam,0398,578682,0000,000000,VILLAGE,Tekulagudem Chalk-II,Rural,9,36,12,24,0,0,0,0,0,0,35,12,23,21,8,13,15,4,11,23,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,15,0,0,0,23,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,15,0,0,0,23,8,15,0,0,0,0,0,0,13,4,9
28,541,Khammam,0398,578683,0000,000000,VILLAGE,Peddagangaram (Z),Rural,149,490,244,246,51,28,23,0,0,0,303,145,158,254,146,108,236,98,138,299,143,156,160,131,29,141,118,23,11,8,3,0,0,0,8,5,3,139,12,127,3,0,3,133,10,123,1,1,0,2,1,1,136,10,126,3,0,3,131,9,122,0,0,0,2,1,1,3,2,1,0,0,0,2,1,1,1,1,0,0,0,0,191,101,90
28,541,Khammam,0398,578684,0000,000000,VILLAGE,Chandrupatla  (Z),Rural,274,874,445,429,116,62,54,505,265,240,24,10,14,425,253,172,449,192,257,553,278,275,517,264,253,263,139,124,229,106,123,1,1,0,24,18,6,36,14,22,0,0,0,31,10,21,0,0,0,5,4,1,29,10,19,0,0,0,27,9,18,0,0,0,2,1,1,7,4,3,0,0,0,4,1,3,0,0,0,3,3,0,321,167,154
28,541,Khammam,0398,578685,0000,000000,VILLAGE,Krishnapuram  (G),Rural,342,1129,547,582,115,56,59,48,14,34,993,490,503,524,314,210,605,233,372,670,361,309,628,344,284,63,63,0,560,277,283,1,1,0,4,3,1,42,17,25,0,0,0,42,17,25,0,0,0,0,0,0,42,17,25,0,0,0,42,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,186,273
28,541,Khammam,0398,578686,0000,000000,VILLAGE,Kadekal (G),Rural,117,424,210,214,66,39,27,0,0,0,421,209,212,175,94,81,249,116,133,269,133,136,200,123,77,3,2,1,196,120,76,0,0,0,1,1,0,69,10,59,0,0,0,69,10,59,0,0,0,0,0,0,68,10,58,0,0,0,68,10,58,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,155,77,78
28,541,Khammam,0398,578687,0000,000000,VILLAGE,Kadekal (Z),Rural,14,42,21,21,3,2,1,0,0,0,42,21,21,19,10,9,23,11,12,29,14,15,25,13,12,1,1,0,24,12,12,0,0,0,0,0,0,4,1,3,0,0,0,4,1,3,0,0,0,0,0,0,4,1,3,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,6
