State,District,DT Name,CD Block,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,,
28,543,Vizianagaram,0482,000000,0000,000000,CD BLOCK,Komarada,Total,13042,51993,24833,27160,5068,2513,2555,7209,3220,3989,18852,8851,10001,26243,14672,11571,25750,10161,15589,29221,15061,14160,20307,12104,8203,4059,2696,1363,12568,6643,5925,329,218,111,3351,2547,804,8914,2957,5957,774,200,574,7205,2370,4835,104,28,76,831,359,472,7787,2617,5170,727,181,546,6262,2081,4181,83,26,57,715,329,386,1127,340,787,47,19,28,943,289,654,21,2,19,116,30,86,22772,9772,13000,,
28,543,Vizianagaram,0482,000000,0000,000000,CD BLOCK,Komarada,Rural,13042,51993,24833,27160,5068,2513,2555,7209,3220,3989,18852,8851,10001,26243,14672,11571,25750,10161,15589,29221,15061,14160,20307,12104,8203,4059,2696,1363,12568,6643,5925,329,218,111,3351,2547,804,8914,2957,5957,774,200,574,7205,2370,4835,104,28,76,831,359,472,7787,2617,5170,727,181,546,6262,2081,4181,83,26,57,715,329,386,1127,340,787,47,19,28,943,289,654,21,2,19,116,30,86,22772,9772,13000,,
28,543,Vizianagaram,0482,000000,0000,000000,CD BLOCK,Komarada,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,543,Vizianagaram,0482,581721,0000,000000,VILLAGE,Pudesu,Rural,116,468,223,245,33,18,15,214,107,107,244,110,134,157,112,45,311,111,200,344,167,177,343,166,177,2,2,0,323,153,170,1,0,1,17,11,6,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,56,68,,
28,543,Vizianagaram,0482,581722,0000,000000,VILLAGE,Yendabhadra,Rural,47,262,159,103,20,12,8,3,2,1,187,125,62,153,119,34,109,40,69,131,68,63,77,57,20,0,0,0,68,51,17,4,2,2,5,4,1,54,11,43,0,0,0,46,9,37,0,0,0,8,2,6,49,9,40,0,0,0,42,8,34,0,0,0,7,1,6,5,2,3,0,0,0,4,1,3,0,0,0,1,1,0,131,91,40,,
28,543,Vizianagaram,0482,581723,0000,000000,VILLAGE,Masimanda,Rural,123,496,230,266,66,34,32,0,0,0,466,220,246,141,90,51,355,140,215,296,136,160,274,131,143,1,1,0,272,130,142,0,0,0,1,0,1,22,5,17,0,0,0,20,4,16,0,0,0,2,1,1,15,4,11,0,0,0,15,4,11,0,0,0,0,0,0,7,1,6,0,0,0,5,0,5,0,0,0,2,1,1,200,94,106,,
28,543,Vizianagaram,0482,581724,0000,000000,VILLAGE,Pedasekha,Rural,177,604,275,329,86,40,46,98,46,52,477,214,263,112,79,33,492,196,296,406,189,217,366,179,187,8,7,1,339,157,182,0,0,0,19,15,4,40,10,30,0,0,0,38,9,29,0,0,0,2,1,1,25,5,20,0,0,0,25,5,20,0,0,0,0,0,0,15,5,10,0,0,0,13,4,9,0,0,0,2,1,1,198,86,112,,
28,543,Vizianagaram,0482,581725,0000,000000,VILLAGE,Jala,Rural,35,164,76,88,28,15,13,1,1,0,161,75,86,23,15,8,141,61,80,101,48,53,71,33,38,2,2,0,42,29,13,1,0,1,26,2,24,30,15,15,0,0,0,6,5,1,0,0,0,24,10,14,22,12,10,0,0,0,5,4,1,0,0,0,17,8,9,8,3,5,0,0,0,1,1,0,0,0,0,7,2,5,63,28,35,,
28,543,Vizianagaram,0482,581726,0000,000000,VILLAGE,Chinasekha,Rural,10,39,17,22,3,1,2,0,0,0,39,17,22,0,0,0,39,17,22,29,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,17,0,0,0,21,9,12,1,0,1,7,3,4,24,12,12,0,0,0,20,9,11,0,0,0,4,3,1,5,0,5,0,0,0,1,0,1,1,0,1,3,0,3,10,5,5,,
28,543,Vizianagaram,0482,581727,0000,000000,VILLAGE,Joppangi,Rural,39,201,96,105,24,11,13,0,0,0,201,96,105,7,5,2,194,91,103,149,72,77,89,44,45,1,1,0,85,42,43,0,0,0,3,1,2,60,28,32,0,0,0,0,0,0,0,0,0,60,28,32,58,28,30,0,0,0,0,0,0,0,0,0,58,28,30,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,52,24,28,,
