State,District,DT Name,CD Block,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
28,550,Sri Potti Sriramulu Nellore,821,0,0,0,CD BLOCK,Seetharamapuram,Total,5547,22785,11584,11201,2640,1339,1301,4294,2182,2112,887,458,429,12940,8008,4932,9845,3576,6269,9826,6245,3581,6193,4425,1768,957,877,80,2999,1629,1370,73,47,26,2164,1872,292,3633,1820,1813,86,58,28,2696,1125,1571,81,42,39,770,595,175,2841,1394,1447,76,53,23,2120,841,1279,41,27,14,604,473,131,792,426,366,10,5,5,576,284,292,40,15,25,166,122,44,12959,5339,7620
28,550,Sri Potti Sriramulu Nellore,821,0,0,0,CD BLOCK,Seetharamapuram,Rural,5547,22785,11584,11201,2640,1339,1301,4294,2182,2112,887,458,429,12940,8008,4932,9845,3576,6269,9826,6245,3581,6193,4425,1768,957,877,80,2999,1629,1370,73,47,26,2164,1872,292,3633,1820,1813,86,58,28,2696,1125,1571,81,42,39,770,595,175,2841,1394,1447,76,53,23,2120,841,1279,41,27,14,604,473,131,792,426,366,10,5,5,576,284,292,40,15,25,166,122,44,12959,5339,7620
28,550,Sri Potti Sriramulu Nellore,821,0,0,0,CD BLOCK,Seetharamapuram,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,550,Sri Potti Sriramulu Nellore,821,591604,0,0,VILLAGE,Chinthodu,Rural,12,55,28,27,9,6,3,0,0,0,0,0,0,26,11,15,29,17,12,29,14,15,29,14,15,2,2,0,25,10,15,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,12
28,550,Sri Potti Sriramulu Nellore,821,591605,0,0,VILLAGE,Pabbuletipalle,Rural,227,998,522,476,129,60,69,207,114,93,25,12,13,419,272,147,579,250,329,426,277,149,333,236,97,44,41,3,256,169,87,4,4,0,29,22,7,93,41,52,9,8,1,66,22,44,7,4,3,11,7,4,92,40,52,9,8,1,66,22,44,6,3,3,11,7,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,572,245,327
28,550,Sri Potti Sriramulu Nellore,821,591606,0,0,VILLAGE,China Nagampalle,Rural,202,828,418,410,91,50,41,280,145,135,0,0,0,412,265,147,416,153,263,494,250,244,112,98,14,43,37,6,0,0,0,0,0,0,69,61,8,382,152,230,2,2,0,330,102,228,1,1,0,49,47,2,377,151,226,2,2,0,326,102,224,1,1,0,48,46,2,5,1,4,0,0,0,4,0,4,0,0,0,1,1,0,334,168,166
28,550,Sri Potti Sriramulu Nellore,821,591607,0,0,VILLAGE,Pedda Nagampalle,Rural,18,71,43,28,9,6,3,71,43,28,0,0,0,34,25,9,37,18,19,40,29,11,8,8,0,1,1,0,0,0,0,0,0,0,7,7,0,32,21,11,0,0,0,32,21,11,0,0,0,0,0,0,32,21,11,0,0,0,32,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,14,17
28,550,Sri Potti Sriramulu Nellore,821,591608,0,0,VILLAGE,Gundupalle,Rural,306,1254,624,630,112,66,46,170,81,89,189,101,88,648,389,259,606,235,371,606,338,268,365,210,155,91,61,30,162,73,89,4,3,1,108,73,35,241,128,113,6,0,6,171,83,88,8,6,2,56,39,17,208,118,90,5,0,5,150,79,71,5,5,0,48,34,14,33,10,23,1,0,1,21,4,17,3,1,2,8,5,3,648,286,362
28,550,Sri Potti Sriramulu Nellore,821,591609,0,0,VILLAGE,Maramreddipalle,Rural,267,1091,532,559,108,46,62,478,224,254,12,6,6,679,403,276,412,129,283,363,314,49,156,140,16,49,48,1,52,44,8,1,0,1,54,48,6,207,174,33,9,7,2,174,154,20,1,0,1,23,13,10,153,128,25,8,7,1,124,111,13,1,0,1,20,10,10,54,46,8,1,0,1,50,43,7,0,0,0,3,3,0,728,218,510
28,550,Sri Potti Sriramulu Nellore,821,591610,0,0,VILLAGE,Jayapuram,Rural,118,359,179,180,19,8,11,0,0,0,37,18,19,228,145,83,131,34,97,263,124,139,192,92,100,0,0,0,176,78,98,1,0,1,15,14,1,71,32,39,2,1,1,54,20,34,3,2,1,12,9,3,71,32,39,2,1,1,54,20,34,3,2,1,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,55,41
