tablename,statecode,districtcode,tahsilcode,towncode,areaname,figuretype,hh_number,pop_number,size_1,size_2,size_3,size_4,size_5,size_6,size_7-10,size_11-14,size_15+,size_mean
HH01,28,0,0,0,State - ANDHRA PRADESH,Total,20927188,83232560,1140133,2933864,3669205,6546167,3618574,1672580,1237330,86808,22527,4
HH01,28,0,0,0,State - ANDHRA PRADESH,Rural,14190615,55591999,898567,2113088,2458097,4276998,2428166,1133667,819488,51147,11397,3.9
HH01,28,0,0,0,State - ANDHRA PRADESH,Urban,6736573,27640561,241566,820776,1211108,2269169,1190408,538913,417842,35661,11130,4.1
HH01,28,532,0,0,District - Adilabad,Total,646703,2708475,29864,80258,103635,183956,128540,65425,51603,2824,598,4.2
HH01,28,532,0,0,District - Adilabad,Rural,471037,1959885,23843,61367,75198,128795,93389,48577,37621,1879,368,4.2
HH01,28,532,0,0,District - Adilabad,Urban,175666,748590,6021,18891,28437,55161,35151,16848,13982,945,230,4.3
HH01,28,532,4305,0,Sub-district - Tamsi,Total,9167,39575,343,976,1351,2754,1842,1057,790,45,9,4.3
HH01,28,532,4305,0,Sub-district - Tamsi,Rural,9167,39575,343,976,1351,2754,1842,1057,790,45,9,4.3
HH01,28,532,4305,0,Sub-district - Tamsi,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4306,0,Sub-district - Adilabad,Total,44236,196429,1363,4288,6863,12942,9043,4889,4389,376,83,4.4
HH01,28,532,4306,0,Sub-district - Adilabad,Rural,13510,57918,577,1496,2078,3842,2753,1499,1188,69,8,4.3
HH01,28,532,4306,0,Sub-district - Adilabad,Urban,30726,138511,786,2792,4785,9100,6290,3390,3201,307,75,4.5
HH01,28,532,4307,0,Sub-district - Jainad,Total,11339,47702,498,1277,1729,3469,2294,1179,847,40,6,4.2
HH01,28,532,4307,0,Sub-district - Jainad,Rural,11339,47702,498,1277,1729,3469,2294,1179,847,40,6,4.2
HH01,28,532,4307,0,Sub-district - Jainad,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4308,0,Sub-district - Bela,Total,8523,37988,235,821,1189,2547,1782,1052,827,61,9,4.5
HH01,28,532,4308,0,Sub-district - Bela,Rural,8523,37988,235,821,1189,2547,1782,1052,827,61,9,4.5
