L1_code,L1_name,L2_code,L2_name,L3_code,L3_name,L4_code,L4_name,address,lat,lng,ne_lat,ne_lng,sw_lat,sw_lng
28,Telangana,532,Adilabad,4305,Tamsi,568945,Karanji (T),Karanji  Maharashtra 504312  India,19.8557,78.3124,19.8586,78.3154,19.854,78.31
28,Telangana,532,Adilabad,4305,Tamsi,568946,Guledi,,,,,,,
28,Telangana,532,Adilabad,4305,Tamsi,568947,Gomutri,Gomutri  Maharashtra 504312  India,19.8802,78.3455,19.882,78.3469,19.8778,78.3442
28,Telangana,532,Adilabad,4305,Tamsi,568948,Antargaon,Antargaon  Andhra Pradesh 504312  India,19.8734,78.37,19.8835,78.3826,19.8615,78.3548
28,Telangana,532,Adilabad,4305,Tamsi,568949,Arli (T),Arli T  Andhra Pradesh  India,19.8351,78.3672,19.8661,78.3942,19.7977,78.3338
28,Telangana,532,Adilabad,4305,Tamsi,568950,Wadoor,Wadoor  Telangana 504312  India,19.828,78.4034,19.8317,78.4053,19.8256,78.4004
28,Telangana,532,Adilabad,4305,Tamsi,568951,Dhanora,Dhanora  Telangana 504312  India,19.8034,78.4031,19.8046,78.4047,19.8019,78.4006
28,Telangana,532,Adilabad,4305,Tamsi,568952,Kamathwada,Kamathwada  Telangana 504312  India,19.7924,78.3871,19.8017,78.3962,19.7866,78.3734
28,Telangana,532,Adilabad,4305,Tamsi,568953,Gona,Gona  Telangana 504312  India,19.7932,78.3984,19.7985,78.409,19.7854,78.3915
28,Telangana,532,Adilabad,4305,Tamsi,568954,Gunjala,Gunjala  Andhra Pradesh 504312  India,19.7947,78.4212,19.8177,78.4423,19.7738,78.4057
28,Telangana,532,Adilabad,4305,Tamsi,568955,Gollaghat,Gollaghat  Andhra Pradesh 504312  India,19.7934,78.4468,19.814,78.4617,19.7716,78.4289
28,Telangana,532,Adilabad,4305,Tamsi,568956,Tamsi (K),Tamsi  Telangana 504312  India,19.6878,78.4226,19.6922,78.4274,19.6838,78.4197
28,Telangana,532,Adilabad,4305,Tamsi,568957,Nipani,504312  India,19.7381,78.407,19.9168,78.5631,19.5969,78.2706
28,Telangana,532,Adilabad,4305,Tamsi,568958,Dabbakuchi,Dabbakuchi  Telangana 504312  India,19.7599,78.4269,19.7749,78.4442,19.7494,78.3958
28,Telangana,532,Adilabad,4305,Tamsi,568959,Bheempoor,Bheempoor  Telangana 504312  India,19.7749,78.4219,19.777,78.4233,19.7726,78.42
28,Telangana,532,Adilabad,4305,Tamsi,568960,Belsari Rampur,Belsari Rampur  Andhra Pradesh  India,19.778,78.3899,19.8007,78.4048,19.7643,78.3619
28,Telangana,532,Adilabad,4305,Tamsi,568961,Anderband,Anderband  Andhra Pradesh  India,19.7538,78.3785,19.7766,78.3987,19.7362,78.3514
28,Telangana,532,Adilabad,4305,Tamsi,568962,Girgaon,Girgaon  Andhra Pradesh  India,19.7288,78.3558,19.7404,78.3726,19.7064,78.3379
28,Telangana,532,Adilabad,4305,Tamsi,568963,Ambugaon,Ambugaon  Telangana 504312  India,19.7076,78.3899,19.7398,78.4074,19.694,78.3696
28,Telangana,532,Adilabad,4305,Tamsi,568964,Palodi (Ramnagar),504312  India,19.7381,78.407,19.9168,78.5631,19.5969,78.2706
28,Telangana,532,Adilabad,4305,Tamsi,568965,Wadgaon,Wadgaon  Telangana 504312  India,19.7435,78.4013,19.7514,78.4485,19.7299,78.3855
28,Telangana,532,Adilabad,4305,Tamsi,568966,Khapperla,504312  India,19.7381,78.407,19.9168,78.5631,19.5969,78.2706
28,Telangana,532,Adilabad,4305,Tamsi,568967,Pippalkhoti,Pippalkhoti  Telangana 504312  India,19.7487,78.4809,19.7841,78.4951,19.7326,78.4647
28,Telangana,532,Adilabad,4305,Tamsi,568968,Ghotkuri,Ghotkuri  Telangana 504312  India,19.7412,78.5008,19.7502,78.518,19.7259,78.4934
28,Telangana,532,Adilabad,4305,Tamsi,568969,Savargaon,,,,,,,
28,Telangana,532,Adilabad,4305,Tamsi,568970,Bandalnagapur,Bandalnagapur  Telangana 504312  India,19.7101,78.4724,19.7201,78.4839,19.6998,78.4576
28,Telangana,532,Adilabad,4305,Tamsi,568971,Jamdi,Jamdi  Telangana 504312  India,19.7082,78.4439,19.7182,78.4634,19.7017,78.4231
28,Telangana,532,Adilabad,4305,Tamsi,568972,Tamsi (B),,,,,,,
28,Telangana,532,Adilabad,4305,Tamsi,568973,Waddadi,Waddadi  Maharashtra 504312  India,19.6874,78.4503,19.6892,78.4523,19.6861,78.4492
28,Telangana,532,Adilabad,4305,Tamsi,568974,Hasnapur,Adilabad-Asifabad Rd  Hasnapur  Telangana 504311  India,19.4183,78.8038,19.4243,78.8238,19.411,78.7822
28,Telangana,532,Adilabad,4305,Tamsi,568975,Ponnari,Ponnari  Telangana 504312  India,19.6792,78.483,19.6813,78.4868,19.6763,78.4802
28,Telangana,532,Adilabad,4306,Adilabad,568976,Jamdapur,Jamdapur  Telangana 504312  India,19.7247,78.5178,19.7415,78.5317,19.7128,78.4924
